2024-2025学年第二学期全校总课表（部分）,,,,,,,,,,,,,,,
开课学院,课程名称,课程性质,教学班名称,课程号,学分,任课教师,课堂容量,已选人数,上课时间,教学地点,合班信息,起始结束周,课程归属,总学时,课程类别
财税学院,地方财政学,专业选修课,(2024-2025-2)-83786-01,83786,2.0,耿立娟,123,0,星期五第1-1节{1-16周},J6-105,22税收1;22税收2;22税收3,1-16周,无,16,专业课
财税学院,地方财政学,专业选修课,(2024-2025-2)-83786-01A,83786,2.0,耿立娟,122,0,星期五第2-2节{1-16周},J6-105,22税收1;22税收2;22税收3,1-16周,无,16,专业课
财税学院,地方财政学,必修课,(2024-2025-2)-83974-01,83974,2.0,耿立娟,133,0,星期五第4-4节{1-16周},J6-105,22财政1;22财政2;22财政3,1-16周,无,16,专业课
财税学院,地方财政学,必修课,(2024-2025-2)-83974-01A,83974,2.0,耿立娟,132,0,星期五第5-5节{1-16周},J6-105,22财政1;22财政2;22财政3,1-16周,无,16,专业课
财税学院,申论,专业选修课,(2024-2025-2)-80385-01,80385,2.0,黄晓燕,295,0,星期三第4-5节{1-16周},J6-205,22财政1;22财政2;22财政3;22社保1;22税收1;22税收2;22税收3,1-16周,无,32,专业课
财税学院,薪酬与福利,专业选修课,(2024-2025-2)-80457-01,80457,2.0,黄晓燕,41,0,星期三第1-2节{1-12周},J6-103,22社保1,1-12周,无,24,专业课
财税学院,薪酬与福利,专业选修课,(2024-2025-2)-80457-01A,80457,2.0,黄晓燕,40,0,星期三第1-2节{13-16周},J6-103,22社保1,13-16周,无,8,专业课
财税学院,世界旅游文化,通识选修课,(2024-2025-2)-80620-01,80620,2.0,黄晓燕,100,0,星期三第6-7节{1-16周},J6-103,无,1-16周,通用能力拓展模块,32,通识课
财税学院,公共部门人力资源开发与管理,专业选修课,(2024-2025-2)-83350-01,83350,2.0,黄晓燕,36,0,星期一第6-6节{1-16周},J6-103,22人力1,1-16周,无,16,专业课
财税学院,公共部门人力资源开发与管理,专业选修课,(2024-2025-2)-83350-01A,83350,2.0,黄晓燕,35,0,星期一第7-7节{1-16周},J6-103,22人力1,1-16周,无,16,专业课
财税学院,公共支出学,必修课,(2024-2025-2)-80305-01,80305,3.0,金峰峰,46,0,星期一第6-7节{1-16周},J6-104,23财政1,1-16周,无,32,专业课
